,Unnamed: 0,imdb_id,profit,Actors,Director,Genre,IMDB Rating,IMDB Votes,Production,Rated,Year,imdbID
27,133,tt0049833,109700000,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson",Cecil B. DeMille,"Adventure, Drama",7.9,"52,151",Paramount Pictures,APPROVED,1956,tt0049833
28,135,tt0051622,2300000,"David Hedison, Patricia Owens, Vincent Price, Herbert Marshall",Kurt Neumann,"Drama, Horror, Sci-Fi",7.1,"17,153",Fox,APPROVED,1958,tt0051622
29,137,tt0053291,22116152,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",Billy Wilder,"Comedy, Romance",8.3,"193,194",United Artists,APPROVED,1959,tt0053291
30,138,tt0053779,19516000,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux",Federico Fellini,"Comedy, Drama",8.1,"53,327",American International Picture,NOT RATED,1960,tt0053779
31,147,tt0043014,3248000,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",Billy Wilder,"Drama, Film-Noir",8.5,"155,722",Paramount Pictures,NOT RATED,1950,tt0043014
32,150,tt0047396,35764313,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",Alfred Hitchcock,"Mystery, Thriller",8.5,"349,461",Paramount Pictures,APPROVED,1954,tt0047396
33,154,tt0051622,2300000,"David Hedison, Patricia Owens, Vincent Price, Herbert Marshall",Kurt Neumann,"Drama, Horror, Sci-Fi",7.1,"17,153",Fox,APPROVED,1958,tt0051622
34,156,tt0055608,5420000,"Walter Pidgeon, Joan Fontaine, Barbara Eden, Peter Lorre",Irwin Allen,"Action, Adventure, Sci-Fi",6.1,"4,620",Twentieth Century Fox Home Entertainment,PG,1961,tt0055608
35,158,tt0060397,6885000,"Stephen Boyd, Raquel Welch, Edmond O'Brien, Donald Pleasence",Richard Fleischer,"Adventure, Family, Sci-Fi",6.8,"14,232",20th Century Fox Film Corporation,PG,1966,tt0060397
36,159,tt0061852,201843612,"Phil Harris, Sebastian Cabot, Bruce Reitherman, George Sanders",Wolfgang Reitherman,"Animation, Adventure, Family",7.6,"135,899",Buena Vista Pictures,G,1967,tt0061852
37,163,tt0036868,21550000,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright",William Wyler,"Drama, Romance, War",8.1,"44,749",RKO Radio Pictures,NOT RATED,1946,tt0036868
38,168,tt0044081,6200000,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden",Elia Kazan,Drama,8.0,"84,114",Warner Bros. Pictures,PG,1951,tt0044081
39,169,tt0043686,10188,"Georges Poujouly, Brigitte Fossey, Amédée, Laurence Badie",René Clément,"Drama, War",8.0,"9,118",Times Film Corporation,NOT RATED,1952,tt0043686
40,173,tt0046876,1300000,"Richard Carlson, Julie Adams, Richard Denning, Antonio Moreno",Jack Arnold,Horror,7.0,"19,789",Universal Pictures,APPROVED,1954,tt0046876
41,176,tt0053291,22116152,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",Billy Wilder,"Comedy, Romance",8.3,"193,194",United Artists,APPROVED,1959,tt0053291
42,179,tt0053779,19516000,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux",Federico Fellini,"Comedy, Drama",8.1,"53,327",American International Picture,NOT RATED,1960,tt0053779
43,185,tt0032910,81700000,"Mel Blanc, Don Brodie, Walter Catlett, Marion Darlington","Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen","Animation, Comedy, Family",7.5,"102,069",RKO,APPROVED,1940,tt0032910
44,201,tt0019729,3979000,"Charles King, Anita Page, Bessie Love",Harry Beaumont,"Drama, Musical, Romance",6.2,"5,010",MGM Home Entertainment,PASSED,1929,tt0019729
45,207,tt0037008,980000,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",Otto Preminger,"Drama, Film-Noir, Mystery",8.1,"34,765",20th Century Fox,APPROVED,1944,tt0037008
46,213,tt0047396,35764313,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",Alfred Hitchcock,"Mystery, Thriller",8.5,"349,461",Paramount Pictures,APPROVED,1954,tt0047396
47,215,tt0049833,109700000,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson",Cecil B. DeMille,"Adventure, Drama",7.9,"52,151",Paramount Pictures,APPROVED,1956,tt0049833
48,227,tt0053779,19516000,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux",Federico Fellini,"Comedy, Drama",8.1,"53,327",American International Picture,NOT RATED,1960,tt0053779
49,231,tt0057012,7640272,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",Stanley Kubrick,"Comedy, War",8.5,"376,280",Sony Pictures,PG,1964,tt0057012
50,236,tt0062467,7000000,"Audrey Hepburn, Alan Arkin, Richard Crenna, Efrem Zimbalist Jr.",Terence Young,"Horror, Thriller",7.9,"22,629",Warner Home Video,NOT RATED,1967,tt0062467
51,238,tt0061809,9507551,"Robert Blake, Scott Wilson, John Forsythe, Paul Stewart",Richard Brooks,"Biography, Crime, Drama",8.0,"20,340",Columbia Pictures,APPROVED,1967,tt0061809
52,241,tt0053291,22116152,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",Billy Wilder,"Comedy, Romance",8.3,"193,194",United Artists,APPROVED,1959,tt0053291
53,245,tt0054953,22900000,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker",J. Lee Thompson,"Action, Adventure, Drama",7.6,"38,555",Columbia Pictures,N/A,1961,tt0054953
54,246,tt0055608,5420000,"Walter Pidgeon, Joan Fontaine, Barbara Eden, Peter Lorre",Irwin Allen,"Action, Adventure, Sci-Fi",6.1,"4,620",Twentieth Century Fox Home Entertainment,PG,1961,tt0055608
55,247,tt0054997,5600000,"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott",Robert Rossen,"Drama, Sport",8.0,"66,553",Fox,APPROVED,1961,tt0054997
56,248,tt0055312,2100000,"Glenn Ford, Bette Davis, Hope Lange, Arthur O'Connell",Frank Capra,"Comedy, Drama",7.3,"4,752",MGM Home Entertainment,APPROVED,1961,tt0055312
57,254,tt0059017,20666667,"Lee Marvin, Jane Fonda, Michael Callan, Dwayne Hickman",Elliot Silverstein,"Comedy, Romance, Western",6.9,"11,174",Columbia Pictures,APPROVED,1965,tt0059017
58,258,tt0060397,6885000,"Stephen Boyd, Raquel Welch, Edmond O'Brien, Donald Pleasence",Richard Fleischer,"Adventure, Family, Sci-Fi",6.8,"14,232",20th Century Fox Film Corporation,PG,1966,tt0060397
59,262,tt0061512,13217773,"Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio",Stuart Rosenberg,"Crime, Drama",8.2,"130,495",Warner Bros.,PG,1967,tt0061512
60,263,tt0062229,39481,"Alain Delon, François Périer, Nathalie Delon, Cathy Rosier",Jean-Pierre Melville,"Crime, Drama, Mystery",8.1,"34,865",CICC Productions,GP,1967,tt0062229
61,268,tt0065421,51675257,"Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers",Wolfgang Reitherman,"Animation, Adventure, Comedy",7.1,"72,830",Buena Vista,G,1970,tt0065421
62,270,tt0066769,5876563,"Arthur Hill, David Wayne, James Olson, Kate Reid",Robert Wise,"Sci-Fi, Thriller",7.2,"27,940",Universal Pictures,G,1971,tt0066769
63,271,tt0066808,9833696,"Woody Allen, Louise Lasser, Carlos Montalbán, Nati Abascal",Woody Allen,Comedy,7.1,"29,780",MGM Home Entertainment,GP,1971,tt0066808
64,272,tt0066999,31976000,"Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon",Don Siegel,"Action, Crime, Thriller",7.8,"122,438",Warner Home Video,R,1971,tt0066999
65,273,tt0068646,239066411,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",Francis Ford Coppola,"Crime, Drama",9.2,"1,276,666",Paramount Pictures,R,1972,tt0068646
66,277,tt0069768,7144595,"Roddy McDowall, Claude Akins, Natalie Trundy, Severn Darden",J. Lee Thompson,"Action, Sci-Fi",5.5,"24,903",20th Century Fox,G,1973,tt0069768
67,282,tt0058946,121548,"Jean Martin, Yacef Saadi, Brahim Hadjadj, Tommaso Neri",Gillo Pontecorvo,"Drama, War",8.1,"42,506",Rialto Pictures,NOT RATED,1966,tt0058946
68,297,tt0071853,4628948,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam","Terry Gilliam, Terry Jones","Adventure, Comedy, Fantasy",8.3,"415,602",Almi Cinema 5,PG,1975,tt0071853
69,302,tt0049223,1350000,"Walter Pidgeon, Anne Francis, Leslie Nielsen, Warren Stevens",Fred M. Wilcox,"Action, Adventure, Sci-Fi",7.7,"37,148",MGM Home Entertainment,APPROVED,1956,tt0049223
70,307,tt0053291,22116152,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",Billy Wilder,"Comedy, Romance",8.3,"193,194",United Artists,APPROVED,1959,tt0053291
71,308,tt0054215,31193052,"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh",Alfred Hitchcock,"Horror, Mystery, Thriller",8.5,"472,223",Paramount Pictures,R,1960,tt0054215
72,328,tt0068646,239066411,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",Francis Ford Coppola,"Crime, Drama",9.2,"1,276,666",Paramount Pictures,R,1972,tt0068646
73,331,tt0071455,72666653,"Charlton Heston, Ava Gardner, George Kennedy, Lorne Greene",Mark Robson,"Action, Drama, Thriller",5.8,"11,324",MCA Universal Home Video,PG,1974,tt0071455
74,337,tt0080455,88229890,"John Belushi, Dan Aykroyd, James Brown, Cab Calloway",John Landis,"Action, Comedy, Crime",7.9,"153,390",Universal Pictures,R,1980,tt0080455
75,338,tt0080661,25399000,"Michael Caine, Angie Dickinson, Nancy Allen, Keith Gordon",Brian De Palma,"Mystery, Thriller",7.1,"26,765",MGM,R,1980,tt0080661
76,339,tt0080339,79953539,"Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Julie Hagerty","Jim Abrahams, David Zucker, Jerry Zucker",Comedy,7.8,"174,191",Paramount Pictures,PG,1980,tt0080339
77,345,tt0061735,52666667,"Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton",Stanley Kramer,"Comedy, Drama",7.8,"31,775",Columbia Pictures Corporation,UNRATED,1967,tt0061735
78,346,tt0061722,101945305,"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels",Mike Nichols,"Comedy, Drama",8.0,"223,257",Embassy Pictures/Rialto Pictures,PG,1967,tt0061722
79,361,tt0064116,321508,"Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson",Sergio Leone,Western,8.6,"239,321",Paramount Pictures,PG-13,1968,tt0064116
80,372,tt0070047,433306145,"Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn",William Friedkin,Horror,8.0,"306,300",Warner Bros. Pictures,R,1973,tt0070047
81,374,tt0071455,72666653,"Charlton Heston, Ava Gardner, George Kennedy, Lorne Greene",Mark Robson,"Action, Drama, Thriller",5.8,"11,324",MCA Universal Home Video,PG,1974,tt0071455
82,380,tt0055304,1800000,"Vincent Price, John Kerr, Barbara Steele, Luana Anders",Roger Corman,"Drama, Horror, Mystery",7.1,"10,033",American International Pictures (AIP),APPROVED,1961,tt0055304
83,405,tt0058329,4864839,"Tippi Hedren, Martin Gabel, Sean Connery, Louise Latham",Alfred Hitchcock,"Crime, Drama, Mystery",7.2,"36,772",MCA Universal Home Video,APPROVED,1964,tt0058329
84,410,tt0065938,1200000,"Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor",Brian G. Hutton,"Adventure, Comedy, War",7.7,"37,795",MGM,GP,1970,tt0065938
85,411,tt0068154,2100000,"Terence Hill, Bud Spencer, Yanti Somer, Enzo Tarascio",Enzo Barboni,"Comedy, Western",7.3,"11,265",West Film,G,1971,tt0068154
86,427,tt0054047,2905000,"Yul Brynner, Eli Wallach, Steve McQueen, Horst Buchholz",John Sturges,"Action, Adventure, Western",7.8,"74,506",MGM Home Entertainment,APPROVED,1960,tt0054047
87,442,tt0071853,4628948,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam","Terry Gilliam, Terry Jones","Adventure, Comedy, Fantasy",8.3,"415,602",Almi Cinema 5,PG,1975,tt0071853
88,447,tt0074119,62100000,"Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam",Alan J. Pakula,"Biography, Drama, History",8.0,"81,718",Warner Home Video,PG,1976,tt0074119
89,453,tt0079470,16045115,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle",Terry Jones,Comedy,8.1,"296,849",Warner Bros. Pictures,R,1979,tt0079470
90,461,tt0061578,39900000,"Lee Marvin, Ernest Borgnine, Charles Bronson, Jim Brown",Robert Aldrich,"Action, Adventure, Comedy",7.8,"57,024",MGM,NOT RATED,1967,tt0061578
91,463,tt0061852,201843612,"Phil Harris, Sebastian Cabot, Bruce Reitherman, George Sanders",Wolfgang Reitherman,"Animation, Adventure, Family",7.6,"135,899",Buena Vista Pictures,G,1967,tt0061852
92,467,tt0062765,36800873,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Peter Yates,"Action, Crime, Mystery",7.5,"50,276",Warner Home Video,M/PG,1968,tt0062765
93,471,tt0066026,78100000,"Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman",Robert Altman,"Comedy, Drama, War",7.6,"59,200",20th Century Fox,R,1970,tt0066026
94,477,tt0070518,6361217,"James Coburn, Kris Kristofferson, Richard Jaeckel, Katy Jurado",Sam Peckinpah,"Biography, Drama, Western",7.4,"14,671",MGM Home Entertainment,R,1973,tt0070518
95,480,tt0072431,83473333,"Gene Wilder, Peter Boyle, Marty Feldman, Madeline Kahn",Mel Brooks,Comedy,8.0,"124,204",20th Century Fox,PG,1974,tt0072431
96,481,tt0071562,89600000,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro",Francis Ford Coppola,"Crime, Drama",9.0,"879,723",Paramount Pictures,R,1974,tt0071562
97,489,tt0076070,20914658,"Clint Eastwood, Sondra Locke, Pat Hingle, William Prince",Clint Eastwood,"Action, Crime, Thriller",6.4,"17,165",Warner Home Video,R,1977,tt0076070
98,490,tt0077372,15500000,"Mark Hamill, Annie Potts, Eugene Roche, William Bryant",Matthew Robbins,"Adventure, Comedy",5.5,"2,249",WARNER BROTHERS PICTURES,PG,1978,tt0077372
99,492,tt0080749,20378361,"Adrienne Barbeau, Jamie Lee Curtis, Janet Leigh, John Houseman",John Carpenter,"Horror, Thriller",6.8,"50,712",AVCO Embassy Pictures,R,1980,tt0080749
100,494,tt0081554,389003,"Woody Allen, Charlotte Rampling, Jessica Harper, Marie-Christine Barrault",Woody Allen,"Comedy, Drama",7.4,"18,036",United Artists,PG,1980,tt0081554
101,502,tt0080761,59204601,"Betsy Palmer, Adrienne King, Jeannine Taylor, Robbi Morgan",Sean S. Cunningham,"Horror, Mystery, Thriller",6.5,"91,977",Paramount Pictures,R,1980,tt0080761
102,505,tt0082418,20472776,"Amy Steel, John Furey, Adrienne King, Kirsten Baker",Steve Miner,"Horror, Mystery, Thriller",6.1,"44,648",Paramount Studios,R,1981,tt0082418
103,507,tt0083972,32690067,"Terry Ballard, Richard Brooker, Gloria Charles, Rachel Howard",Steve Miner,"Horror, Thriller",5.7,"36,220",Paramount Home Video,R,1982,tt0083972
104,513,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
105,514,tt0087332,265212467,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",Ivan Reitman,"Action, Adventure, Comedy",7.8,"295,448",Columbia Pictures,PG,1984,tt0087332
106,522,tt0068646,239066411,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",Francis Ford Coppola,"Crime, Drama",9.2,"1,276,666",Paramount Pictures,R,1972,tt0068646
