,imdb_id,profit
983,tt0112851,18405445
985,tt0114709,343554033
986,tt0114746,139340000
988,tt0116367,6836616
989,tt0116253,66969216
992,tt0118928,62127760
994,tt0118849,720000
995,tt0118617,86804348
996,tt0119217,215933435
999,tt0120815,411840909
1001,tt0099044,115518974
1004,tt0101414,352350553
1010,tt0108333,23898845
1014,tt0112625,13940383
1016,tt0112922,4367497
1020,tt0106582,185000211
1032,tt0113277,127436818
1035,tt0116790,5770254
1037,tt0116583,138851
1046,tt0114781,44324083
1048,tt0116790,5770254
1050,tt0117509,132798761
1051,tt0118883,61982834
1052,tt0120762,214320254
1060,tt0099253,22763605
1065,tt0103956,7560255
1067,tt0104431,340991681
1070,tt0108333,23898845
1074,tt0112573,138000000
1078,tt0116583,138851
1091,tt0087884,435023
1092,tt0087332,265212467
1102,tt0104692,22101000
1112,tt0106977,324875760
1113,tt0107688,57634409
1121,tt0095016,112767956
1124,tt0097814,11272849
1125,tt0098384,95904091
1128,tt0099423,170031094
1130,tt0099685,21836394
1138,tt0104952,53088552
1139,tt0103772,303927224
1141,tt0116213,142295562
1143,tt0116353,258263
1145,tt0119095,14000000
1147,tt0118880,149012234
1148,tt0119094,165676146
1153,tt0118583,92000000
1158,tt0120902,123198313
1161,tt0118884,81120329
1162,tt0118571,230156409
1165,tt0118929,200316
1168,tt0169388,278161
1173,tt0120363,407366869
1183,tt0119698,132875308
1187,tt0120591,413799566
1194,tt0188030,3000000
1195,tt0120363,407366869
1205,tt0222368,1069154
1206,tt0120363,407366869
1215,tt0266308,20500000
1219,tt0126029,424409218
1222,tt0118971,95944660
1224,tt0120338,1645034188
1225,tt0118604,4570463
1229,tt0120611,86183530
1233,tt0218553,12686644
1234,tt0163651,224483004
1235,tt0137523,37853753
1238,tt0146882,17126295
1239,tt0186151,37106245
1241,tt0119008,6954997
1242,tt0118826,75114
1245,tt0119217,215933435
1246,tt0120902,123198313
1248,tt0147800,37478166
1254,tt0227538,112934180
1255,tt0271027,39437847
1256,tt0198781,447816256
1257,tt0241527,851475550
1261,tt0211915,163921954
1262,tt0230011,66053725
1268,tt0275847,65771527
1269,tt0252076,99906693
1271,tt0283426,115680000
1272,tt0309987,121165
1277,tt0387564,102711669
1280,tt0116705,69832389
1285,tt0125439,321889678
1289,tt0144084,27266564
1291,tt0204946,62449929
1294,tt0245429,259925095
1297,tt0251806,13102295
1304,tt0088933,85313124
1308,tt0090180,17307019
1313,tt0091670,300653
1316,tt0090567,5186646
1318,tt0093191,700000
1334,tt0116839,2409225
1343,tt0103874,175862692
1344,tt0104257,203240178
1347,tt0107688,57634409
1351,tt0110366,67308282
1354,tt0109686,231275374
1358,tt0112864,276101666
1362,tt0120616,335885488
1368,tt0146675,111989043
1371,tt0216216,14085477
1376,tt0209163,335013274
1392,tt0258463,154034224
1398,tt0253754,7312826
1400,tt0160797,11000000
1404,tt0190332,196525736
1405,tt0126029,424409218
1406,tt0287635,28023563
1414,tt0258463,154034224
1428,tt0258000,148397415
1431,tt0338564,8708932
1435,tt1006926,14817006
1437,tt0318462,16756372
1438,tt1010435,13422333
1446,tt0159273,51753202
1449,tt0187738,101010032
1454,tt0304669,107855065
1457,tt0266543,846335536
1459,tt0325980,515011224
1466,tt0258463,154034224
1467,tt0298130,201348933
1468,tt0295297,776688482
1471,tt0264464,300114312
1476,tt0373692,604093
1477,tt0305357,139175788
1484,tt0338348,140875730
1485,tt0339291,69073645
1491,tt0384806,89047131
1498,tt0454848,139376254
1500,tt0293662,22928932
1501,tt0217505,93772504
1503,tt0292506,101191884
1504,tt0172156,143339556
1505,tt0307987,53488889
1508,tt0318462,16756372
1512,tt0369339,152764291
1515,tt0359013,63905366
1523,tt0092948,50504655
1524,tt0097074,64227
1534,tt0097428,178394738
1536,tt0098320,11554699
1538,tt0097757,171343479
1540,tt0116790,5770254
1542,tt0116629,741969268
1545,tt0119054,9090
1547,tt0119116,173920180
1567,tt0112818,28363635
1571,tt0115759,100270147
1574,tt0116629,741969268
1593,tt0287963,105090
1594,tt0252076,99906693
1596,tt0297753,8500
1598,tt0292506,101191884
1600,tt0364569,11980005
1603,tt0251127,127371441
1604,tt0301357,74584880
1609,tt0322259,160350661
1639,tt0298148,769838758
1640,tt0298148,769838758
1641,tt0212712,7271312
1650,tt0398712,5294470
1655,tt0405422,83449237
1658,tt0358273,158438883
1663,tt0324216,97571655
1672,tt0339291,69073645
1682,tt0324216,97571655
1686,tt0337579,47070412
1688,tt0359517,19179516
1689,tt0338526,140257475
1690,tt0304141,659804554
1691,tt0296572,10772733
1693,tt0372183,213500217
1694,tt0343818,227234916
1701,tt0452594,152999686
1717,tt0486655,65560026
1719,tt0758758,41255142
1720,tt0376105,63772522
1729,tt0393735,11112916
1730,tt0454841,54623713
1736,tt0381061,449045960
1738,tt0490204,2222308
1740,tt0099578,12424195
1742,tt0099685,21836394
1745,tt0101669,38016380
1747,tt0101414,352350553
1748,tt0104454,25966555
1751,tt0105217,25170057
1752,tt0105414,32017402
1754,tt0105629,23278931
1755,tt0107206,136997168
1757,tt0108260,102780
1760,tt0128442,10921898
1761,tt0119643,52940100
1762,tt0120660,160649836
1765,tt0133385,1644060
1770,tt0188030,3000000
1771,tt0172627,239894
1773,tt0120363,407366869
1777,tt0188640,9037390
1783,tt0118983,9700000
1784,tt0120338,1645034188
1787,tt0118910,822484
1793,tt0137494,146404396
1800,tt0305224,120745823
1804,tt0377834,12212123
1822,tt0338526,140257475
1826,tt0296572,10772733
1829,tt0372183,213500217
1832,tt0363163,73841160
1837,tt0388789,3165061
1845,tt0372183,213500217
1846,tt0411705,574623
1859,tt0450278,75778934
1861,tt0433400,50817508
1870,tt0432289,382267
1877,tt0473064,47636016
1882,tt0398375,18933562
1900,tt0368578,65918663
1903,tt0401792,118733820
1905,tt0121766,737000000
1907,tt0368222,2945242
1908,tt0330373,745921036
1911,tt0453365,215063
1918,tt0479647,4671300
1932,tt1178640,666045
1938,tt0397892,159979994
1943,tt0988595,130259319
1944,tt0462499,63244290
1950,tt0465502,5000000
1951,tt0830515,386090727
1959,tt0492044,77527732
1961,tt0109699,1948595
1967,tt0116629,741969268
1968,tt0116669,13620973
1969,tt0116313,90400000
1979,tt0181984,2780255
1986,tt0222012,1000000
1992,tt0187078,147202299
2011,tt0207201,304111707
2012,tt0266308,20500000
2013,tt0162222,339632142
2018,tt0212985,264692268
2032,tt0338348,140875730
2040,tt0375611,733094
2050,tt0427954,21165581
2056,tt0421238,3048693
2063,tt0358082,185696994
2074,tt0398017,35479076
2080,tt0480025,5796544
2084,tt0457939,109168700
2095,tt0499570,27769
2097,tt0486946,253625427
2106,tt0386032,15538513
2135,tt0373889,788212738
2138,tt0858486,2101046
2156,tt1167599,21000000
2157,tt1032825,72000000
2160,tt1114677,120545279
2169,tt1251725,81010
2179,tt1373406,54800
2184,tt0196229,32780981
2190,tt0258000,148397415
2210,tt0244244,45080413
2214,tt0250687,37498534
2216,tt0221809,1774000
2217,tt0196229,32780981
2221,tt0256009,1959020
2222,tt0245429,259925095
2238,tt0278435,13801187
2245,tt0478213,401
2248,tt0418484,21847
2257,tt0372784,224218673
2263,tt0433400,50817508
2267,tt0434409,78511035
2277,tt0370032,1070211
2283,tt0491703,6700000
2285,tt0370032,1070211
2293,tt0456020,21353303
2296,tt0495596,46000000
2297,tt0803093,7900000
2309,tt0413267,638958165
2313,tt0498353,25419521
2318,tt1226251,42238454
2322,tt0912597,30231200
2323,tt0809504,22707064
2326,tt0970468,16051363
2340,tt1024943,28607444
2348,tt0936501,201830568
2359,tt0910970,341311860
2382,tt1221208,693181
2389,tt1055292,67610124
2394,tt1789846,460
2395,tt1638979,26488
2401,tt0296572,10772733
2406,tt0375611,733094
2409,tt0424774,19425966
2414,tt0367089,9598131
2419,tt0449059,92523181
2422,tt0278488,19155435
2433,tt0251806,13102295
2434,tt0250223,111127553
2440,tt0308772,102471
2449,tt0292506,101191884
2450,tt0301357,74584880
2469,tt0475590,2146621
2476,tt0417397,14500000
2483,tt0817928,51896
2489,tt0382625,642820459
2496,tt0449059,92523181
2524,tt0858486,2101046
2526,tt0796302,44852
2532,tt0906108,40184721
2547,tt1082853,2434658
2552,tt1129423,32956317
2580,tt1231587,28572262
2584,tt1422020,430041
2595,tt1441956,29375
2612,tt1655442,118432856
2615,tt1704573,4206470
2629,tt0453556,61608995
2634,tt0488798,36500000
2645,tt0283026,25911240
2650,tt0283084,4158074
2680,tt0426459,658573
2701,tt0443543,46915017
2706,tt0460791,3669465
2709,tt0430779,16627188
2717,tt0437857,69136
2721,tt1038988,28948000
2724,tt0473308,20179430
2728,tt0440963,372824138
2738,tt0923811,223839
2746,tt0460810,900689
2751,tt0936501,201830568
2752,tt0467200,43269970
2777,tt1334104,900000
2778,tt0492044,77527732
2785,tt1127715,5101756
2795,tt0860906,41162041
2797,tt0417741,683959197
2823,tt1571222,12462041
2826,tt1723811,11193675
2841,tt0397892,159979994
2842,tt0814314,113167691
2844,tt1155056,50636986
2848,tt1370429,3600000
2855,tt1481363,8084148
2858,tt1054580,14631377
2859,tt0780521,162045765
2860,tt0253754,7312826
2862,tt0299658,261776732
2872,tt0297753,8500
2876,tt0301976,343816
2886,tt0402906,17393
2893,tt0370986,1524966
2894,tt0296572,10772733
2898,tt0403358,27800000
