,country,imdb_rating,imdb_votes,language,production,released_on_weekend,released_on_dump_month,runtime,year,budget,revenue,actor_popularity,director_popularity,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,mystery,romance,thriller,other_genre,G,NC-17,PG,PG-13,R,TV-14,TV-MA,TV-PG,UNRATED
26,1,5.6,11.357639140542677,2,155,1,1,90,2008,18.064005800013632,18.09368398486527,19.28187,1.287228,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27,2,6.4,9.243484970568485,3,701,0,0,106,2008,16.70588231586044,10.602591953570201,7.269372999999999,2.0897900000000003,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,2,6.8,11.417856256130069,1,27,0,0,93,2006,16.90655301132259,16.411182715090124,7.504757000000001,1.2335200000000002,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
29,1,6.5,11.47191595286965,4,163,1,1,114,2014,17.14771506813948,17.78922302982524,13.504751,1.7660619999999998,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30,4,5.5,10.421000764451936,2,206,1,1,101,2009,17.50439001207821,16.31744048603774,18.69825,1.000001,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
31,2,6.5,11.881014025073432,1,206,1,0,108,2006,18.420680743952367,19.767026708021255,6.348518,2.590619333333333,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,1,6.5,10.271146945908393,1,701,1,0,101,2006,14.508657738524219,15.460129689616847,4.050114,1.000029,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,1,6.2,12.793809309182251,3,127,0,0,122,2008,19.0358663830426,20.4832762254559,38.883475,8.403141,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34,5,6.2,11.428031843951599,3,21,1,1,121,2007,17.72753356339242,18.22429941819894,7.262384999999999,1.088886,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,3,7.0,10.835474452516607,1,80,1,1,135,2007,16.811242831518264,15.20208512982147,32.862749,2.709948,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36,2,5.6,10.86249288681782,1,27,0,0,88,2008,18.197537192638155,18.913751867217837,22.346954999999998,1.217339,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37,1,7.0,13.062914813760298,1,163,1,0,124,2015,18.82614585206053,21.137709721593406,26.987133,2.8719740000000002,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38,1,4.4,11.20457799314145,2,210,1,0,88,2006,17.216707939626428,17.251760072463004,12.135081,2.51832,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
39,1,7.9,13.539757056377766,5,127,1,0,126,2008,18.75715298057358,20.187420176242547,31.519507,7.120710000000001,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,1,3.6,10.001521292807494,2,210,1,1,90,2007,18.064005800013632,17.796824598424205,7.5408820000000025,1.0000719999999998,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41,1,5.8,11.45497850501538,3,206,1,0,93,2008,17.622173047734595,18.437558116467528,13.997386,1.930593,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,1,6.1,11.452899413974531,1,21,1,1,109,2007,16.523560759066484,18.200706016608013,9.706297,1.9394919999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
43,2,7.5,12.896721708390766,1,206,0,0,138,2007,18.82614585206053,20.659487280828923,12.354559999999998,3.067843,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
44,2,4.7,9.962793658433535,1,701,1,0,96,2007,16.64872390202049,14.781276933298955,9.541208,1.000055,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
45,4,6.9,10.75775393342989,1,155,1,1,125,2006,17.24949776244942,17.14771506813948,17.021679000000002,1.5262870000000002,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
46,3,6.3,10.235736598313034,1,37,1,0,94,2009,17.98989782785991,17.601767757540273,25.702873,1.002351,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,2,6.2,11.417097150957554,3,80,1,0,120,2011,17.622173047734595,16.99356438831222,23.071764,1.111202,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,3,6.7,12.940901451022256,1,155,1,0,104,2006,19.162618088681743,19.945343805597442,25.001987,3.061718,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
49,2,6.0,10.722584331418851,1,701,1,1,84,2011,17.399029496420383,19.061019967813266,27.844852000000003,1.864511,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,2,6.0,10.268755470892879,2,163,1,0,114,2008,17.875953568510692,17.536360757613483,7.466738,7.1272020000000005,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
51,3,6.7,11.801324780141943,1,127,1,1,135,2009,17.98989782785991,18.353745603883212,28.754644,3.5685559999999996,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
52,1,6.4,8.931287626222456,1,701,0,0,98,2005,15.068273526459642,11.64204840462957,10.35918,1.00635,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,6,8.0,13.13174522987259,2,210,1,0,144,2006,18.82614585206053,20.21084888101609,23.267799,1.3597350000000001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54,1,7.7,12.442140319414396,2,102,1,1,122,2007,17.822843743196746,18.06423748745774,21.105083,4.171514,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,2,6.6,9.510667161961042,1,163,1,1,87,2006,17.72753356339242,18.061643225617047,13.376425,1.0504,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,4,6.6,12.753260092021524,4,210,1,0,149,2006,18.643824295266576,20.459066486438015,24.73177,5.88053,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
57,1,8.0,13.1608030163678,2,701,1,0,111,2007,18.82614585206053,20.251216625723725,15.01736,3.5118965,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,1,5.1,10.197574072660903,1,155,1,0,92,2012,17.216707939626428,17.819552897936752,10.49143,1.6634080000000002,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,1,4.3,9.689489552881621,1,210,1,1,83,2006,17.37085861945369,16.341734119780654,14.561914000000002,2.0646139999999997,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,1,7.3,13.254675026444003,5,20,1,0,151,2006,19.11382792451231,20.786859986055056,33.199325,4.0424940000000005,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
61,4,6.6,12.152292049845526,1,210,1,0,125,2006,17.72753356339242,18.396464411172754,19.126545,1.549144,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
62,1,6.5,11.617528693958873,1,163,1,1,93,2006,16.951004773893423,17.466298894691338,13.000778,1.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,2,6.1,11.969330805146777,4,27,1,1,113,2007,19.008467408854486,19.735035567855512,18.61785,3.593207,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
64,1,6.6,11.288994103415007,1,210,1,0,91,2006,18.132998671500584,18.75840224277765,11.436763000000001,1.057884,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,1,8.0,11.145536184114292,4,80,0,0,123,2007,16.012735135300492,17.015754400464065,7.294575,2.8490580000000003,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
66,3,6.8,11.429630808772417,1,206,1,0,101,2009,18.420680743952367,18.421548297518918,4.504201999999999,4.042079,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,3,6.7,9.595874844595468,2,701,0,0,105,2006,16.70588231586044,14.42056286567398,16.607613999999998,1.000241,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
68,1,6.6,11.686029672214573,1,155,0,1,84,2006,17.216707939626428,13.112924975493177,16.628292000000002,2.3976900000000003,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
69,3,5.6,11.092184269309547,2,163,1,1,121,2006,17.72753356339242,17.709597713382774,27.502439000000006,3.3991230000000003,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
70,4,7.8,11.06890142468344,4,210,1,0,145,2006,16.860032995687696,17.08100535357115,8.204435,1.4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
71,2,6.6,11.901508875709876,1,210,1,0,113,2007,17.216707939626428,18.1397223236728,13.681745000000001,1.546673,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
72,2,6.1,11.658894192298385,1,127,1,0,91,2007,18.82614585206053,19.47706232758332,12.415375,1.0522194999999999,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,1,6.4,12.48620126232704,3,210,1,0,107,2006,18.22830885130491,19.28644125443523,29.175222,1.172351,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
74,2,5.7,6.962243464266207,1,60,1,1,96,2007,15.201804919084164,13.71840035909723,18.591611,2.586595,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,3,8.0,9.492507263739853,1,78,0,0,90,2007,16.523560759066484,18.50685844019342,11.903334,1.0240280000000002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
76,1,4.4,9.671114035843228,1,20,1,0,98,2006,17.72753356339242,17.92823379296389,10.978233,1.9935509999999999,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
77,1,6.1,9.290259995152056,5,155,1,1,145,2006,16.99356438831222,16.964905706673882,13.894452,2.0897900000000003,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
78,1,6.0,9.899680314193175,1,210,1,1,124,2006,17.034386382832476,16.59795598043639,11.480961,1.036303,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
79,4,7.5,12.22284126310541,1,701,1,1,147,2006,17.72753356339242,18.69967763164106,7.36822,1.6493520000000002,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80,1,6.9,11.199159479184567,1,20,1,0,95,2007,18.82614585206053,18.94737761844725,6.643807000000001,1.0007059999999999,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,6,6.2,9.025335217553026,1,206,1,1,103,2008,16.300417207752275,15.771417712879641,11.564698,1.0000120000000001,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
82,1,5.4,10.765849942384728,1,155,1,0,103,2006,17.14771506813948,17.45729591502344,16.311016,1.0226,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
83,1,7.3,10.868263640225607,1,20,1,1,120,2006,17.50439001207821,18.606795049174295,16.697451,1.923191,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,1,6.9,11.978707696641694,1,78,1,0,96,2008,18.82614585206053,19.552018317877092,17.727867000000003,2.0839575000000004,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,1,7.8,12.699795853146382,1,78,0,0,100,2010,19.3761921889798,20.19867074094886,17.288972,1.5407264999999999,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,1,7.2,11.696820782752475,1,20,1,1,96,2007,17.909855120186375,18.739767460148116,20.720305,1.0000120000000001,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,1,4.9,8.064321960910803,1,701,0,0,99,2006,16.11809565095832,13.330599564048967,13.430110999999998,1.0001200000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,3,4.8,10.596634733096073,1,80,1,0,87,2006,16.860032995687696,13.082195335676994,14.524509,1.74927,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,1,6.2,11.176585219637783,1,210,1,1,86,2006,18.258161814454592,19.100281722607146,16.736535,1.403715,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,2,8.0,11.454077389161023,1,701,1,1,112,2007,16.454567887579532,16.80006291853873,11.042585,1.054036,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,2,6.9,11.245712464357787,3,155,1,0,117,2006,17.37085861945369,17.554705322144958,17.226121,5.085380000000001,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
92,4,7.3,11.089469487341145,5,701,1,0,120,2006,16.38045991542581,15.396007079519203,5.594225,1.6827221363636362,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
93,1,6.6,12.325010569601687,1,78,1,0,132,2012,19.3761921889798,19.464974464950526,19.304284,3.206956,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
94,3,6.7,12.044764747143999,3,701,1,1,106,2006,17.72753356339242,18.528106334873748,24.408278,2.030626,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
95,1,7.6,11.475223597786217,1,27,1,1,136,2006,17.073607095985757,16.511600047418035,20.115267000000003,1.0001120000000001,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
96,2,7.4,11.42125963644348,3,27,1,1,122,2006,16.64872390202049,16.06680235657077,21.292148,1.483193,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,1,8.5,12.564694193605108,1,210,1,0,137,2006,14.508657738524219,18.064005800013632,8.156756999999999,1.0669540000000002,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
98,1,7.1,11.46065274373233,1,206,1,0,100,2006,15.978833583624812,15.85151183669864,37.217804,3.220827,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,3,5.5,10.426142928055697,1,701,1,1,145,2006,16.64872390202049,12.833995736670975,5.3594930000000005,1.556,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
100,2,5.3,9.921081860937079,1,20,1,0,82,2006,18.197537192638155,17.43675459383457,15.1393,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
101,1,8.3,11.345145662492124,3,149,0,1,157,2006,14.603967918328545,16.25804461932129,6.366791,1.000055,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
