,Unnamed: 0,budget,imdb_id,revenue,Actors,Country,Director,Genre,IMDB Rating,IMDB Votes,Language,Production,Rated,Released,Runtime,Title,Year,imdbID
0,0,200000000,tt0383574,1065659812,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",USA,Gore Verbinski,"Action, Adventure, Fantasy",7.3,"570,732","English, Turkish, Greek, Mandarin, French",Buena Vista,PG-13,7-Jul-06,151 min,Pirates of the Caribbean: Dead Man's Chest,2006,tt0383574
1,1,55000000,tt0454921,307077295,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe",USA,Gabriele Muccino,"Biography, Drama",8,"370,364","English, Cantonese",Sony Pictures,PG-13,15-Dec-06,117 min,The Pursuit of Happyness,2006,tt0454921
2,2,125000000,tt0382625,767820459,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno","USA, Malta, France, UK",Ron Howard,"Mystery, Thriller",6.6,"345,677","English, French, Latin, Spanish",Sony Pictures,PG-13,19-May-06,149 min,The Da Vinci Code,2006,tt0382625
3,3,150000000,tt0381061,599045960,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","UK, Czech Republic, USA, Germany, Bahamas, Italy",Martin Campbell,"Action, Adventure, Thriller",8,"504,713","English, French",Sony,PG-13,17-Nov-06,144 min,Casino Royale,2006,tt0381061
4,4,120000000,tt0317219,461983149,"Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy",USA,"John Lasseter, Joe Ranft(co-director)","Animation, Comedy, Family",7.1,"292,502","English, Italian, Japanese, Yiddish",Buena Vista,G,9-Jun-06,117 min,Cars,2006,tt0317219
5,5,65000000,tt0416449,422610419,"Gerard Butler, Lena Headey, Dominic West, David Wenham",USA,Zack Snyder,"Action, Fantasy",7.7,"649,962",English,Warner Bros. Pictures,R,9-Mar-07,117 min,300,2006,tt0416449
6,6,54000000,tt0434409,132511035,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry","USA, UK, Germany",James McTeigue,"Action, Drama, Thriller",8.2,"870,474",English,Warner Bros. Pictures,R,17-Mar-06,132 min,V for Vendetta,2005,tt0434409
7,7,35000000,tt0458352,326551094,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci","USA, France",David Frankel,"Comedy, Drama",6.8,"310,101","English, French",20th Century Fox,PG-13,30-Jun-06,109 min,The Devil Wears Prada,2006,tt0458352
8,8,25000000,tt0449467,135330182,"Brad Pitt, Cate Blanchett, Mohamed Akhzam, Peter Wight","France, USA, Mexico",Alejandro Gonz?lez I??rritu,Drama,7.5,"257,676","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language",Paramount Classics,R,10-Nov-06,143 min,Babel,2006,tt0449467
9,9,80000000,tt0438097,660940780,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott",USA,Carlos Saldanha,"Animation, Action, Adventure",6.8,"212,777",English,20th Century Fox,PG,31-Mar-06,91 min,Ice Age: The Meltdown,2006,tt0438097
10,10,40000000,tt0482571,109676311,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo","USA, UK",Christopher Nolan,"Drama, Mystery, Sci-Fi",8.5,"945,501",English,Buena Vista Pictures,PG-13,20-Oct-06,130 min,The Prestige,2006,tt0482571
11,11,55000000,tt0450232,65664721,"Bruce Willis, Yasiin Bey, David Morse, Jenna Stern","USA, Germany",Richard Donner,"Action, Crime, Drama",6.6,"116,775","English, Spanish",Warner Bros.,PG-13,3-Mar-06,102 min,16 Blocks,2006,tt0450232
12,12,110000000,tt0477347,574480841,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney","USA, UK",Shawn Levy,"Adventure, Comedy, Family",6.4,"258,200","English, Italian, Hebrew",20th Century Fox,PG,22-Dec-06,108 min,Night at the Museum,2006,tt0477347
13,13,50000000,tt0384537,97607453,"Radha Mitchell, Sean Bean, Laurie Holden, Deborah Kara Unger","Canada, France, Japan, USA",Christophe Gans,"Adventure, Horror, Mystery",6.6,"189,528",English,Sony Pictures,R,21-Apr-06,125 min,Silent Hill,2006,tt0384537
14,14,50000000,tt0401855,111340801,"Kate Beckinsale, Scott Speedman, Tony Curran, Derek Jacobi","USA, Canada, Hungary",Len Wiseman,"Action, Adventure, Fantasy",6.7,"170,206","English, French, Hungarian",Sony/Screen Gems,R,20-Jan-06,106 min,Underworld: Evolution,2006,tt0401855
15,15,40000000,tt0410297,114830111,"Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach",USA,Alejandro Agresti,"Drama, Fantasy, Romance",6.8,"121,237",English,Warner Bros. Pictures,PG,16-Jun-06,99 min,The Lake House,2006,tt0410297
16,16,12000000,tt0462590,114194847,"Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington",USA,Anne Fletcher,"Crime, Drama, Music",6.5,"97,809",English,Buena Vista,PG-13,11-Aug-06,104 min,Step Up,2006,tt0462590
17,17,90000000,tt0407887,289847354,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","USA, Hong Kong",Martin Scorsese,"Crime, Drama, Thriller",8.5,"966,913","English, Cantonese",Warner Bros. Pictures,R,6-Oct-06,151 min,The Departed,2006,tt0407887
18,18,150000000,tt0317919,397850012,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup","USA, Germany, China, Italy",J.J. Abrams,"Action, Adventure, Thriller",6.9,"276,546","English, Italian, Mandarin, Cantonese, German, Czech",Paramount Pictures,PG-13,5-May-06,126 min,Mission: Impossible III,2006,tt0317919
19,19,100000000,tt0450259,170877916,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers","Germany, USA",Edward Zwick,"Adventure, Drama, Thriller",8,"430,965","English, Mende, Afrikaans",Warner Bros. Pictures,R,8-Dec-06,143 min,Blood Diamond,2006,tt0450259
20,20,300000000,tt0449088,961000000,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",USA,Gore Verbinski,"Action, Adventure, Fantasy",7.1,"514,815",English,Buena Vista,PG-13,25-May-07,169 min,Pirates of the Caribbean: At World's End,2007,tt0449088
21,21,3500000,tt0804507,54947,"Asia Argento, Cristian Solimeno, Adam James, Moran Atias","Italy, USA",Dario Argento,Horror,5.1,"7,674","English, Italian",Weinstein Company,R,31-Oct-07,102 min,Mother of Tears,2007,tt0804507
22,22,150000000,tt0373889,938212738,"Daniel Radcliffe, Harry Melling, Jason Boyd, Richard Macklin","UK, USA",David Yates,"Adventure, Family, Fantasy",7.5,"399,002",English,Warner Bros. Pictures,PG-13,11-Jul-07,138 min,Harry Potter and the Order of the Phoenix,2007,tt0373889
23,23,150000000,tt0382932,623722818,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy",USA,"Brad Bird, Jan Pinkava(co-director)","Animation, Comedy, Family",8,"519,594","English, French",Disney/Pixar,G,29-Jun-07,111 min,Ratatouille,2007,tt0382932
24,24,70000000,tt0486655,135560026,"Ian McKellen, Bimbo Hart, Alastair MacIntosh, David Kelly","UK, USA, Iceland",Matthew Vaughn,"Adventure, Family, Fantasy",7.7,"224,657",English,Paramount Pictures,PG-13,10-Aug-07,127 min,Stardust,2007,tt0486655
25,25,25000000,tt0477348,171600000,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",USA,"Ethan Coen, Joel Coen","Crime, Drama, Thriller",8.1,"684,171","English, Spanish",Miramax Films,R,21-Nov-07,122 min,No Country for Old Men,2007,tt0477348
